   % 1. Title: Iris Plants Database
   % 
   % 2. Sources:
   %      (a) Creator: R.A. Fisher
   %      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
   %      (c) Date: July, 1988
   % print(outfile, "$(M.UFindex),")
   % print(outfile, "$(M.groupName),")
   % print(outfile, "$(M.name),")

   % print(outfile, "$(M.numberOfRows),")
   % print(outfile, "$(M.numberOfColumns),")

   % print(outfile, "$(M.isSymmectric),")
   % print(outfile, "$(M.isSquare),")
   % print(outfile, "$(M.numberOfConnectedComponent),")
   % print(outfile, "$(M.numberOfConnectedComponent2),")
   % print(outfile, "$(M.numberOfBlockFromDmPerm),")
   % print(outfile, "$(M.avgNNZPerRow),")
   % print(outfile, "$(M.stdNNZPerRow),")
   % print(outfile, "$(M.varNNZPerRow),")

   % print(outfile, "$(M.maxEig),")
   % print(outfile, "$(M.isDiagonallyDominant),")
   % print(outfile, "$(M.isBlockDiagonal),")
   % print(outfile, "$(M.isDiagonal),")

   % print(outfile, "$(M.mm.representation),")
   % print(outfile, "$(M.mm.field),")
   % print(outfile, "$(M.mm.symmetric),")
   % print(outfile, "$(M.mm.domain)")

 
 @RELATION matrixdomains



   @ATTRIBUTE UFindex   NUMERIC
   @ATTRIBUTE groupName   string
   @ATTRIBUTE name   string

   @ATTRIBUTE numberOfRows   NUMERIC 
   @ATTRIBUTE numberOfColumns   NUMERIC 

   @ATTRIBUTE isSymmectric   {true, false}   
   @ATTRIBUTE numberOfConnectedComponent   NUMERIC 
   @ATTRIBUTE numberOfBlockFromDmPerm   NUMERIC
   @ATTRIBUTE normalizedAvgNNZPerRow   NUMERIC
   @ATTRIBUTE avgNNZPerRow   NUMERIC
   @ATTRIBUTE stdNNZPerRow   NUMERIC 
   @ATTRIBUTE varNNZPerRow   NUMERIC

   @ATTRIBUTE maxEig   NUMERIC
   @ATTRIBUTE isMaxEigNegative    {true, false} 

   @ATTRIBUTE isDiagonallyDominant   {true, false} 
   @ATTRIBUTE isBlockDiagonal   {true, false}   
   @ATTRIBUTE isDiagonal   {true, false}  
   %@ATTRIBUTE representation   {"coordinate"}   
   @ATTRIBUTE field   {"real","pattern"}   
   @ATTRIBUTE symmetric   {"symmetric", "general", "skew-symmetric"}
  
   @ATTRIBUTE isPowerNetworkProblem   {0,1}     
   @ATTRIBUTE isStructuralProblem    {0,1} 
   @ATTRIBUTE isCFDP    {0,1} 
   @ATTRIBUTE isSOP    {0,1} 
   @ATTRIBUTE "is2d3dP"    {0,1} 
   @ATTRIBUTE "isSubsequent2d3dP"    {0,1} 
   @ATTRIBUTE isDirectedWeightedGraph    {0,1} 
   @ATTRIBUTE isChemicalProcessSimulationProblem    {0,1} 
   @ATTRIBUTE isThermalProblem    {0,1} 
   @ATTRIBUTE isEconomicProblem    {0,1} 
        
   %@ATTRIBUTE domain {"subsequent circuit simulation problem","circuit simulation problem","thermal problem","structural problem","optimization problem","computational fluid dynamics problem","undirected graph","2D/3D problem","electromagnetics problem","model reduction problem","directed graph","subsequent computational fluid dynamics problem","undirected random graph","eigenvalue/model reduction problem","chemical process simulation problem","directed weighted graph","power network problem","materials problem","subsequent theoretical/quantum chemistry problem","economic problem"}
   @ATTRIBUTE domain {"subsequent circuit simulation problem","structural problem","optimization problem","computational fluid dynamics problem","undirected graph","2D/3D problem","directed graph","chemical process simulation problem","power network problem","economic problem"}

@data
2409,"AG-Monien","3elt",4720,4720,true,1,1,0.0012318658431485204,5.814406779661017,0.670799913256028,0.44997252362429463,6.030185244724349,false,false,false,false,"pattern","symmetric",0,0,0,0,1,0,0,0,0,0,"2D/3D problem"
999,"Sandia","adder_dcop_16",1813,1813,false,6,469,0.003421389127795242,6.202978488692774,30.78564091403568,947.7556864879476,1.2829258296313508,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1029,"Sandia","adder_dcop_46",1813,1813,false,6,469,0.003421389127795242,6.202978488692774,30.78564091403568,947.7556864879476,1.1799032427622875,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1059,"Sandia","fpga_dcop_05",1220,1220,false,34,194,0.003931738779897877,4.79672131147541,4.023065867055783,16.1850589706693,12.342262044761254,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1089,"Sandia","fpga_dcop_35",1220,1220,false,34,188,0.003958613276001075,4.829508196721312,4.014385300336206,16.115289339555417,2.8716515227707844,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1119,"Sandia","oscil_dcop_08",430,430,false,9,31,0.008350459707950243,3.5906976744186045,1.4499921957009454,2.102477367593649,2.0010042911153443e6,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1149,"Sandia","oscil_dcop_38",430,430,false,9,31,0.008350459707950243,3.5906976744186045,1.4499921957009454,2.102477367593649,2.0010042911153473e6,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1179,"HB","lock2232",2232,2232,true,25,3,0.016129032258064516,36.0,11.236107513608678,126.25011205737337,41.35526152437179,false,false,true,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
1269,"DNVS","m_t1",97578,97578,true,1,1,0.0010243769093910896,99.95665006456373,28.55784112673913,815.550289820073,1.58682604060388e12,false,false,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
1299,"GHS_indef","bratu3d",27792,27792,true,285,3460,0.00022500914764801044,6.253454231433506,1.6732756296981317,2.799851332941679,11.93723390558004,false,false,true,false,"real","symmetric",0,0,0,0,1,0,0,0,0,0,"2D/3D problem"
1389,"Andrianov","net25",9520,9520,true,2,2,0.004426770708283314,42.142857142857146,32.48160560416965,1055.0547026248253,71.4260911880246,false,false,true,false,"pattern","symmetric",0,0,0,0,0,0,0,0,0,0,"optimization problem"
1479,"Pajek","GD01_b",18,18,false,1,5,0.11419753086419752,2.0555555555555554,0.23570226039551584,0.05555555555555556,2.0949099651230374,false,false,false,false,"pattern","general",0,0,0,0,0,0,0,0,0,0,"directed graph"
1539,"Schenk_IBMNA","c-20",2921,2921,true,1,1,0.0023962051704821746,6.999315302978432,10.214681862810354,104.33972555842679,3.279345569441926e7,false,false,false,false,"real","symmetric",0,0,0,0,0,0,0,0,0,0,"optimization problem"
1569,"Schenk_IBMNA","c-50",22401,22401,true,3,3,0.0003591934545879325,8.046292576224277,20.459043357791767,418.5724551160034,531719.3370939149,false,false,true,false,"real","symmetric",0,0,0,0,0,0,0,0,0,0,"optimization problem"
1629,"Bai","rdb1250l",1250,1250,false,1,1,0.004672,5.84,0.38382008061515893,0.1473178542834271,46.361184151147995,true,false,false,false,"real","general",0,0,1,0,0,0,0,0,0,0,"computational fluid dynamics problem"
879,"Pothen","onera_dual",85567,85567,true,1,1,5.7254509499561625e-5,4.89909661434899,0.3048662999041618,0.09294346081725433,5.991431756784164,false,false,false,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
939,"ND","nd24k",72000,72000,true,1,1,0.00553928125,398.82825,76.94407371320452,5920.39047958305,2830.1591834484348,false,false,false,false,"real","symmetric",0,0,0,0,1,0,0,0,0,0,"2D/3D problem"
2469,"DIMACS10","delaunay_n14",16384,16384,true,1,1,0.0003659874200820923,5.996337890625,1.3482301313863372,1.8177244871780198,6.679474442457029,false,false,false,false,"pattern","symmetric",0,0,0,0,0,0,0,0,0,0,"undirected graph"
2559,"CPM","cz148",148,148,false,2,2,0.06971329437545655,10.317567567567568,7.421275870065824,55.075335539621264,191.9841179421048,true,false,true,false,"real","general",0,0,0,0,1,0,0,0,0,0,"2D/3D problem"
40,"HB","bcsstk18",11948,11948,true,792,792,0.0010443788948628972,12.478239035821895,7.624820490715624,58.137887515636855,7.237674071296626e10,false,false,true,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
70,"HB","bcsstm20",485,485,true,485,485,0.002061855670103093,1.0,0.0,0.0,9.559110123069997e7,false,true,true,true,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
190,"HB","lns_511",511,511,false,98,135,0.010707679581496701,5.471624266144814,3.4400577263336785,11.833997160508037,985536.4391403198,true,false,true,false,"real","general",0,0,1,0,0,0,0,0,0,0,"computational fluid dynamics problem"
220,"HB","nos4",100,100,true,1,1,0.0594,5.94,1.455189251463794,2.1175757575757572,1.282746037354932,false,true,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
100,"HB","can_292",292,292,true,1,1,0.029789829236254457,8.698630136986301,5.408876328241285,29.255943134208923,13.163921745323814,false,false,false,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
130,"HB","dwt_592",592,592,true,1,1,0.014563550036523008,8.621621621621621,1.6075347350117983,2.5841679242694524,10.871998991867098,false,false,false,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
250,"HB","sstmodel",3345,3345,true,616,616,0.0020331530227164565,6.800896860986547,3.9643822906722797,15.716326946595991,13.124841934682363,false,false,true,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
430,"FIDAP","ex33",1733,1733,true,2,2,0.007388233366818844,12.803808424697056,4.227323340340293,17.870262623785813,1.516585588162658e11,false,false,true,false,"real","symmetric",0,0,1,0,0,0,0,0,0,0,"computational fluid dynamics problem"
460,"Grund","bayer09",3083,3083,false,2,1872,0.0012379944678996252,3.8167369445345445,3.4889022338587266,12.172438797424412,24.14290296728205,false,false,true,false,"real","general",0,0,0,0,0,0,0,1,0,0,"chemical process simulation problem"
550,"Hollinger","g7jac040sc",11790,11790,false,317,597,0.0007725167818790956,9.107972858354538,14.493868794647875,210.07223263646745,1242.6243339061555,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,1,"economic problem"
580,"Hollinger","mark3jac020",9129,9129,false,321,321,0.0006345555838857511,5.792857925293022,3.8371097014196014,14.723410860728423,2024.3660304286454,true,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,1,"economic problem"
760,"Nasa","nasa4704",4704,4704,true,1,1,0.004734174707297885,22.26955782312925,6.456715671735365,41.68917726563306,3.045059457507713e8,false,false,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
340,"Boeing","bcsstk35",30237,30237,true,1,1,0.0015861323407194705,47.95988358633463,14.233033917299979,202.57925449101157,9.786258302688498e9,false,false,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
850,"Chen","pkustk04",55590,55590,true,1,1,0.0013651525261030013,75.88882892606584,110.88891817184165,12296.352173321393,178.22506266818667,false,false,false,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
1000,"Sandia","adder_dcop_17",1813,1813,false,6,469,0.003421389127795242,6.202978488692774,30.78564091403568,947.7556864879476,1.26243684483791,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1030,"Sandia","adder_dcop_47",1813,1813,false,6,469,0.003421389127795242,6.202978488692774,30.78564091403568,947.7556864879476,1.1798577912362764,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1060,"Sandia","fpga_dcop_06",1220,1220,false,34,193,0.0039371136791185165,4.80327868852459,4.0205365843330565,16.164714425960522,8.782506387874813,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1090,"Sandia","fpga_dcop_36",1220,1220,false,34,188,0.003958613276001075,4.829508196721312,4.014385300336206,16.115289339555417,2.8716515227707826,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1120,"Sandia","oscil_dcop_09",430,430,false,9,31,0.008350459707950243,3.5906976744186045,1.4499921957009454,2.102477367593649,2.001004291115344e6,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1150,"Sandia","oscil_dcop_39",430,430,false,9,31,0.008350459707950243,3.5906976744186045,1.4499921957009454,2.102477367593649,2.001004291115344e6,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,0,"subsequent circuit simulation problem"
1180,"HB","lock3491",3491,3491,true,76,3,0.013165088506427421,45.959323975938126,12.956132997012272,167.8613822362702,54.97935717044531,false,false,true,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
1240,"GHS_indef","mario001",38434,38434,true,312,312,0.00013871908661686327,5.331529375032523,1.9948523032005974,3.979435711584728,3.059094630046568,false,false,true,false,"real","symmetric",0,0,0,0,1,0,0,0,0,0,"2D/3D problem"
1270,"GHS_psdef","oilpan",73752,73752,true,17459,17459,0.00039500216678532186,29.132199804751057,18.806960611950934,353.7017674594739,7.323522614910056e7,false,false,true,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
1300,"GHS_indef","cont-201",80595,80595,true,1,1,6.755312915744705e-5,5.444444444444445,0.6402199847750596,0.40988162890537755,4.9e-322,false,false,false,false,"real","symmetric",0,0,0,0,0,0,0,0,0,0,"optimization problem"
1330,"MathWorks","Kuu",7102,7102,true,1,1,0.006744860523342492,47.901999436778375,19.95498310549167,398.201350740458,74.62543925319373,false,false,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
1390,"Andrianov","net4-1",88343,88343,true,97,97,0.00031286200139439834,27.639167789185333,85.30302625725881,7276.606288646586,146.0162047947362,false,false,true,false,"pattern","symmetric",0,0,0,0,0,0,0,0,0,0,"optimization problem"
1540,"Schenk_IBMNA","c-21",3509,3509,true,7,7,0.0026106382310000236,9.160729552579083,13.475106366922317,181.57849159987035,11944.566130026173,false,false,true,false,"real","symmetric",0,0,0,0,0,0,0,0,0,0,"optimization problem"
1570,"Schenk_IBMNA","c-51",23196,23196,true,2,2,0.0003773744698714637,8.753578203138472,18.198556913205486,331.1874737231792,10606.946557983196,false,false,true,false,"real","symmetric",0,0,0,0,0,0,0,0,0,0,"optimization problem"
1630,"Bai","rdb200",200,200,false,1,1,0.027999999999999997,5.6,0.5671049640066687,0.321608040201005,33.38667997036419,true,false,false,false,"real","general",0,0,1,0,0,0,0,0,0,0,"computational fluid dynamics problem"
880,"Pothen","pwt",36519,36519,true,57,57,0.0002445244933416349,8.929789972343164,0.7916810591531613,0.6267588994218714,10.905274262793371,false,false,true,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
2230,"TSOPF","TSOPF_FS_b9_c1",2454,2454,true,2,2,0.004156678483111252,10.200488997555013,42.77444592725558,1829.6532243837114,8272.413252520057,true,false,true,false,"real","symmetric",1,0,0,0,0,0,0,0,0,0,"power network problem"
2290,"SNAP","email-Enron",36692,36692,true,1065,8719,0.0002730901120626302,10.020222391802028,36.10049635000951,1303.24583671705,118.41771488874616,false,false,true,false,"pattern","symmetric",0,0,0,0,0,0,0,0,0,0,"directed graph"
2410,"AG-Monien","3elt_dual",9000,9000,true,1,1,0.00032785185185185185,2.9506666666666668,0.2165750844311396,0.046904767196355245,2.996355047580149,false,false,false,false,"pattern","symmetric",0,0,0,0,1,0,0,0,0,0,"2D/3D problem"
2470,"DIMACS10","delaunay_n15",32768,32768,true,1,1,0.00018304958939552307,5.9981689453125,1.3554375373256566,1.837210917591441,6.928288732911433,false,false,false,false,"pattern","symmetric",0,0,0,0,0,0,0,0,0,0,"undirected graph"
2530,"DIMACS10","t60k",60005,60005,true,1,1,4.9680608442477586e-5,2.9810849095908676,0.13622635219305065,0.018557619031825078,1.1102230246251565e-16,false,false,false,false,"pattern","symmetric",0,0,0,0,0,0,0,0,0,0,"undirected graph"
2560,"CPM","cz308",308,308,false,2,2,0.03354275594535335,10.331168831168831,7.307178385558538,53.39485595837388,776.5549834209024,true,false,true,false,"real","general",0,0,0,0,1,0,0,0,0,0,"2D/3D problem"
41,"HB","bcsstk19",817,817,true,1,1,0.010266835857969196,8.388004895960833,2.3078092191801445,5.325983392132867,3.2679230457812256e14,false,false,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
71,"HB","bcsstm21",3600,3600,true,3600,3600,0.0002777777777777778,1.0,0.0,0.0,0.00029321122001220017,false,true,true,true,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
101,"HB","can_445",445,445,true,1,1,0.01923494508269158,8.559550561797753,1.258906924437707,1.5848466443972065,9.950941045822374,false,false,false,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
131,"HB","dwt_607",607,607,true,4,4,0.01392594361770557,8.453047775947281,2.3722863119569944,5.627742345898518,11.055887111667595,false,false,true,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
191,"HB","lnsp3937",3937,3937,false,290,351,0.001639164568651718,6.453390906781814,3.055952526023524,9.338845841309556,1.1719856760848999e7,true,false,true,false,"real","general",0,0,1,0,0,0,0,0,0,0,"computational fluid dynamics problem"
221,"HB","nos5",468,468,true,1,1,0.02361385053692746,11.051282051282051,2.461162671034972,6.0573216932959975,1.0008130730304756e6,false,true,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
251,"HB","steam1",240,240,false,1,1,0.03902777777777778,9.366666666666667,2.644749541916969,6.994700139470017,2.1711984315566674e7,true,false,false,false,"real","general",0,0,1,0,0,0,0,0,0,0,"computational fluid dynamics problem"
431,"FIDAP","ex35",19716,19716,false,342,342,0.0005862101652761154,11.55771961858389,4.498639099167941,20.237753744562546,3.507923285327952e7,false,false,true,false,"real","general",0,0,1,0,0,0,0,0,0,0,"computational fluid dynamics problem"
461,"Grund","bayer10",13436,13436,false,1,2545,0.00039658532248988535,5.3285203929741,4.623831980055616,21.379822179785045,15.557599028505786,true,false,false,false,"real","general",0,0,0,0,0,0,0,1,0,0,"chemical process simulation problem"
551,"Hollinger","g7jac050sc",14760,14760,false,387,737,0.0006662930281064329,9.83448509485095,16.866543605105353,284.4802931829202,2485.2426524934444,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,1,"economic problem"
581,"Hollinger","mark3jac020sc",9129,9129,false,321,321,0.0006345555838857511,5.792857925293022,3.8371097014196014,14.723410860728423,1.0485760000000007e6,false,false,true,false,"real","general",0,0,0,0,0,0,0,0,0,1,"economic problem"
761,"Nasa","nasasrb",54870,54870,true,1,1,0.0008892646133550452,48.79394933479133,8.53071420359826,72.7730848234731,3.472564301094029e9,false,false,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
341,"Boeing","bcsstk36",23052,23052,true,1,1,0.002151206986812575,49.58962346000347,12.221591914342625,149.36730892072504,2.3849122893382713e8,false,false,false,false,"real","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
851,"Chen","pkustk05",37164,37164,true,1,1,0.0015965850272884829,59.33548595414918,24.623814558077065,606.332243390568,78.62053210564336,false,false,false,false,"pattern","symmetric",0,1,0,0,0,0,0,0,0,0,"structural problem"
2471,"DIMACS10","delaunay_n16",65536,65536,true,1,1,9.153736755251884e-5,5.998992919921875,1.353208471562749,1.8311731675091911,6.952337966892241,false,false,false,false,"pattern","symmetric",0,0,0,0,0,0,0,0,0,0,"undirected graph"
2531,"DIMACS10","uk",4824,4824,true,1,286,0.0005875989043175499,2.834577114427861,0.40625233212005374,0.16504095735298244,2.993166408610883,false,false,false,false,"pattern","symmetric",0,0,0,0,0,0,0,0,0,0,"undirected graph"
2561,"CPM","cz628",628,628,false,2,2,0.01609091646719948,10.105095541401274,7.104041540626925,50.46740621095297,3114.312146183552,true,false,true,false,"real","general",0,0,0,0,1,0,0,0,0,0,"2D/3D problem"
2411,"AG-Monien","airfoil1",4253,4253,true,1,1,0.001358800739207947,5.778979543851399,0.7068141612322285,0.49958625851841876,6.029395379416123,false,false,false,false,"pattern","symmetric",0,0,0,0,1,0,0,0,0,0,"2D/3D problem"
1481,"Pajek","GD02_a",23,23,false,3,10,0.16446124763705103,3.782608695652174,3.605003111070785,12.996047430830039,5.312991805671777,false,false,true,false,"pattern","general",0,0,0,0,0,0,0,0,0,0,"directed graph"
1511,"Barabasi","NotreDame_yeast",2114,2114,true,417,649,0.0010024622980195105,2.119205298013245,3.049206817711727,9.297662217179678,7.561904434383659,false,false,true,false,"pattern","symmetric",0,0,0,0,0,0,0,0,0,0,"undirected graph"
1541,"Schenk_IBMNA","c-22",3792,3792,true,2,2,0.0020077522743862275,7.613396624472574,12.606635520774244,158.92725915364687,128372.68344174763,false,false,true,false,"real","symmetric",0,0,0,0,0,0,0,0,0,0,"optimization problem"
1571,"Schenk_IBMNA","c-52",23948,23948,true,5,5,0.00035345358404040555,8.464506430599632,16.043350716214167,257.3891022034497,3.886924984197469e15,false,false,true,false,"real","symmetric",0,0,0,0,0,0,0,0,0,0,"optimization problem"
1631,"Bai","rdb200l",200,200,false,1,1,0.027999999999999997,5.6,0.5671049640066687,0.321608040201005,9.424698724540512,true,false,false,false,"real","general",0,0,1,0,0,0,0,0,0,0,"computational fluid dynamics problem"
