@relation 'matrixdomains-weka.filters.unsupervised.attribute.Remove-Rfirst-3,5,6,13-14,20-22,24-39'

@attribute numberOfRows numeric
@attribute numberOfConnectedComponent numeric
@attribute numberOfBlockFromDmPerm numeric
@attribute normalizedAvgNNZPerRow numeric
@attribute avgNNZPerRow numeric
@attribute stdNNZPerRow numeric
@attribute varNNZPerRow numeric
@attribute isDiagonallyDominant {true,false}
@attribute isBlockDiagonal {true,false}
@attribute isDiagonal {true,false}
@attribute field {real,pattern,integer,complex}
@attribute symmetric {symmetric,general,skew-symmetric,hermitian}
@attribute isUndirectedWeightedRandomGraph {0,1}

@data
87804,2,2,0.000677,59.426814,25.032296,626.615864,false,true,false,pattern,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
1960,10,58,0.002912,5.707653,17.069379,291.363698,false,true,false,pattern,symmetric,0
51537,307,307,0.000381,19.612647,5.32319,28.336353,false,true,false,real,symmetric,0
179860,36,36,0.000142,25.567686,10.883753,118.456085,false,true,false,real,symmetric,0
791,7,36,0.017077,13.508217,10.558319,111.478097,false,true,false,real,general,0
87190,1178,3495,0.00008,6.955947,101.977096,10399.328055,false,true,false,real,general,0
5822,877,50,0.000435,2.533494,5.94834,35.382747,false,true,false,pattern,symmetric,0
11125,9,9,0.000999,11.115416,72.603833,5271.316595,false,true,false,real,symmetric,0
5489,1,1,0.007225,39.657679,5.213338,27.178896,false,false,false,real,symmetric,0
7245,3,3,0.000879,6.368806,4.146352,17.192235,false,true,false,real,symmetric,0
29214,2,2,0.005156,150.616896,676.285644,457362.272766,false,true,false,real,symmetric,0
22687,17535,467,0.000106,2.411293,4.287306,18.380994,false,true,false,pattern,general,0
1133,1,413,0.008493,9.622242,9.343765,87.305936,false,false,false,pattern,symmetric,0
153,153,153,0.006536,1,0,0,true,true,true,real,symmetric,0
96,1,1,0.083333,8,1.421637,2.021053,false,false,false,pattern,symmetric,0
600,151,151,0.015722,9.433333,4.529505,20.516416,false,true,false,real,general,0
8032,6656,3825,0.000163,1.305403,1.948466,3.796519,false,true,false,real,symmetric,0
7740,1,1,0.007615,58.939018,26.158426,684.26324,false,false,false,real,general,0
34454,4430,4450,0.00016,5.521101,6.438143,41.44969,false,true,false,real,general,0
94653,1,1,0.000839,79.366919,148.391822,22020.132917,false,false,false,pattern,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
7602,1,103,0.000565,4.295317,1.120899,1.256415,false,false,false,real,general,0
24993,1,2,0.000112,2.799664,0.979951,0.960304,false,false,false,real,symmetric,0
114919,49,49,0.00025,28.746796,12.884389,166.007486,false,true,false,real,symmetric,0
51032,1568,4666,0.000095,4.850447,22.565602,509.206416,false,true,false,real,general,0
80800,1,1,0.000083,6.710198,0.475933,0.226513,true,false,false,real,symmetric,0
492,43,184,0.011708,5.760163,6.875041,47.26619,false,true,false,pattern,symmetric,0
10728,1,1,0.000739,7.923192,12.819544,164.340702,false,false,false,real,symmetric,0
5489,1,1,0.007225,39.655493,5.232139,27.37528,false,false,false,real,symmetric,0
10798,2,2,0.005219,56.356733,243.794677,59435.844759,false,true,false,real,symmetric,0
36682,28193,533,0.000066,2.407938,4.334447,18.787427,false,true,false,pattern,general,0
4720,1,1,0.001232,5.814407,0.6708,0.449973,false,false,false,pattern,symmetric,0
192244,308,49109,0.000033,6.336385,14.140008,199.93983,false,true,false,pattern,symmetric,0
238600,1,23355,0.00002,4.701584,2.374722,5.639304,false,false,false,integer,symmetric,0
39,1,1,0.086128,3.358974,1.012739,1.025641,false,false,false,pattern,symmetric,0
420,420,420,0.002381,1,0,0,true,true,true,real,symmetric,0
54,1,1,0.099794,5.388889,1.90745,3.638365,false,false,false,pattern,general,0
80,21,21,0.049062,3.925,2.091423,4.374051,false,true,false,real,general,0
27,1,1,0.382716,10.333333,3.258126,10.615385,false,false,false,real,symmetric,0
46772,46772,46772,0.000021,1,0,0,true,true,true,real,symmetric,0
34454,4430,4450,0.00016,5.521101,6.438143,41.44969,false,true,false,real,general,0
38744,1,1,0.00118,45.728939,38.395809,1474.238167,false,false,false,real,general,0
94893,1,1,0.000735,69.729348,32.723083,1070.800192,false,false,false,pattern,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
1041,1,67,0.008051,8.381364,26.35555,694.614999,false,false,false,real,general,0
6001,1,1,0.063021,378.186969,649.680521,422084.779037,false,false,false,real,symmetric,0
54924,1,1,0.000982,53.931833,4.902295,24.032496,false,false,false,pattern,symmetric,0
20640,1556,4593,0.000229,4.716715,16.82438,283.059772,false,true,false,real,general,0
6100,1023,50,0.000404,2.463934,5.84442,34.15725,false,true,false,pattern,symmetric,0
13206,1,1,0.001,13.210056,85.106862,7243.177986,false,false,false,real,symmetric,0
5357,1,1,0.007217,38.663991,7.07842,50.10403,false,false,false,real,symmetric,0
30798,2,2,0.001899,58.487564,428.066288,183240.74724,false,true,false,real,symmetric,0
62586,48438,1003,0.000038,2.36302,4.391601,19.286158,false,true,false,pattern,general,0
9000,1,1,0.000328,2.950667,0.216575,0.046905,false,false,false,pattern,symmetric,0
39,1,1,0.223537,8.717949,6.223676,38.734143,false,false,false,pattern,symmetric,0
161672,2,24469,0.00003,4.872693,3.125795,9.770594,false,true,false,integer,symmetric,0
49,1,1,0.069554,3.408163,1.41301,1.996599,false,false,false,pattern,symmetric,0
420,1,1,0.041111,17.266667,6.070024,36.845187,false,false,false,real,symmetric,0
1005,1,1,0.008535,8.578109,3.620867,13.110676,false,false,false,pattern,symmetric,0
147,1,1,0.113332,16.659864,4.41122,19.458858,false,false,false,real,symmetric,0
1651,1,13,0.017999,29.716535,15.019893,225.597175,false,false,false,real,general,0
41374,5272,5292,0.000134,5.544182,6.472786,41.896955,false,true,false,real,general,0
16146,1,1,0.003894,62.873529,12.409778,154.002586,false,false,false,real,symmetric,0
151926,1,1,0.000643,97.656122,46.507823,2162.977577,false,false,false,pattern,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
301,9,15,0.013797,4.152824,2.023998,4.096567,false,true,false,real,general,0
392257,1,1,0.000018,6.990149,0.141753,0.020094,true,false,false,real,symmetric,0
29736,1,1,0.005027,149.478074,47.058162,2214.470614,false,false,false,real,symmetric,0
7102,1,1,0.006745,47.901999,19.954983,398.201351,false,false,false,real,symmetric,0
87190,1178,3495,0.00008,6.955947,101.977096,10399.328055,false,true,false,real,general,0
8497,8482,766,0.000093,0.791573,8.937044,79.870748,false,true,false,pattern,general,0
1022,77,162,0.004859,4.965753,3.623003,13.126152,false,true,false,pattern,general,0
14913,1,1,0.000586,8.743848,42.022965,1765.929553,false,false,false,real,symmetric,0
16129,1,1,0.000973,15.686589,5.777157,33.37554,false,false,false,real,symmetric,0
40798,2,2,0.001441,58.782783,495.468268,245488.8043,false,true,false,real,symmetric,0
4253,1,1,0.001359,5.77898,0.706814,0.499586,false,false,false,pattern,symmetric,0
204447,1,21434,0.000023,4.796519,3.449203,11.897,false,false,false,integer,symmetric,0
118,1,1,0.034186,4.033898,1.573999,2.477474,false,false,false,pattern,symmetric,0
1074,1074,1074,0.000931,1,0,0,true,true,true,real,symmetric,0
1007,1,1,0.008456,8.515392,1.170169,1.369296,false,false,false,pattern,symmetric,0
900,1,1,0.00956,8.604444,1.037228,1.075842,true,false,false,integer,symmetric,0
147,1,1,0.112962,16.605442,4.431453,19.637778,false,false,false,real,symmetric,0
1633,2,2,0.017485,28.552358,17.080902,291.757214,false,true,false,real,general,0
41374,5272,5292,0.000134,5.544182,6.472786,41.896955,false,true,false,real,general,0
1813,6,469,0.003421,6.202427,30.785689,947.75867,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
10922,1,123,0.000394,4.301685,1.118349,1.250705,false,false,false,pattern,symmetric,0
32226,1,1,0.000413,13.294979,6.222131,38.714909,false,false,false,real,symmetric,0
22098,1,1,0.003963,87.579147,32.371781,1047.932211,false,false,false,pattern,symmetric,0
7102,2,2,0.003373,23.955787,9.981366,99.627675,false,true,false,real,symmetric,0
86,1,41,0.033532,2.883721,2.323378,5.398085,false,false,false,integer,symmetric,0
15343,1,1,0.000898,13.778335,38.89829,1513.076986,false,false,false,real,symmetric,0
65025,1,1,0.000244,15.843522,5.762227,33.203261,false,false,false,real,symmetric,0
29214,2,2,0.005156,150.616896,676.285644,457362.272766,false,true,false,real,symmetric,0
8034,1,1,0.000366,2.940752,0.236103,0.055745,false,false,false,pattern,symmetric,0
157508,1,22787,0.000031,4.930607,3.112063,9.684938,false,false,false,integer,symmetric,0
274,1,1,0.021472,5.883212,3.305153,10.924039,false,false,false,pattern,symmetric,0
1083,1083,1083,0.000923,1,0,0,true,true,true,real,symmetric,0
1242,1,1,0.006759,8.394525,1.951194,3.807158,false,false,false,pattern,symmetric,0
1258,1,670,0.004854,6.106518,9.545425,91.115136,false,false,false,real,general,0
9129,321,321,0.000635,5.792858,3.83711,14.723411,false,true,false,real,general,0
3096,2,2,0.009477,29.341408,17.157412,294.376779,false,true,false,real,general,0
38415,1,1,0.000632,24.292464,3.461595,11.982641,false,false,false,complex,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
14842,1,143,0.00029,4.306226,1.116525,1.246628,false,false,false,pattern,symmetric,0
67759,2,3,0.000122,8.261249,2.738851,7.501304,false,true,false,real,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
213453,1,1,0.000263,56.148712,12.887958,166.099462,false,false,false,pattern,symmetric,0
16782,1,1,0.002411,40.459898,24.199783,585.629492,false,false,false,pattern,symmetric,0
17500,1,1,0.000375,6.569257,3.995047,15.960401,false,false,false,real,symmetric,0
18354,1,1,0.000493,9.048709,16.866381,284.474825,false,false,false,real,symmetric,0
2048,1,1,0.002411,4.938477,0.506069,0.256106,false,false,false,real,general,0
146689,1,1,0.000169,24.791518,10.183486,103.703385,false,false,false,real,symmetric,0
1020,114,157,0.005655,5.767647,3.447337,11.884134,false,true,false,real,general,0
56814,2,2,0.002716,154.318759,962.154624,925741.520308,false,true,false,real,symmetric,0
30269,1,1,0.000098,2.968648,0.174271,0.03037,false,false,false,pattern,symmetric,0
268495,1,82378,0.000032,8.615781,16.282506,265.11999,false,false,false,pattern,symmetric,0
145247,1,27258,0.000033,4.821979,3.331027,11.09574,false,false,false,integer,symmetric,0
377002,2503,2503,0.000194,73.163267,6.431357,41.362359,false,true,false,real,general,0
443,1,1,0.00827,3.663657,1.576758,2.486165,false,false,false,pattern,symmetric,0
1086,2,2,0.018732,20.342541,5.621271,31.598686,false,true,false,real,symmetric,0
162,1,1,0.045039,7.296296,1.740596,3.029676,false,false,false,pattern,symmetric,0
496,54,10,0.202914,100.645161,126.748056,16065.069795,false,true,false,real,general,0
3363,1,1,0.008795,29.578055,11.516177,132.622326,false,false,false,real,symmetric,0
9129,321,321,0.000635,5.792858,3.83711,14.723411,false,true,false,real,general,0
21200,1,1,0.003312,70.224906,6.327149,40.032815,false,false,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
19362,1,163,0.000223,4.309627,1.115155,1.243571,false,false,false,pattern,symmetric,0
20685,1,1,0.005738,118.682959,28.555331,815.406925,false,false,false,pattern,symmetric,0
21982,11091,11091,0.001032,22.689974,50.108535,2510.8653,false,true,false,real,general,0
5026,1,1,0.003722,18.707919,14.317128,204.980144,false,false,false,pattern,symmetric,0
20000,5000,5000,0.000113,2.25,0.433024,0.187509,false,true,false,real,symmetric,0
21132,2,2,0.000352,7.431384,14.452449,208.873291,false,true,false,real,symmetric,0
8192,1,1,0.000622,5.095947,0.61426,0.377315,false,false,false,real,general,0
245874,7,7,0.000218,53.484695,2.995075,8.970472,false,true,false,real,symmetric,0
84414,2,2,0.001843,155.613168,1181.18972,1395209.154519,false,true,false,real,symmetric,0
10240,1,1,0.000579,5.933594,1.886072,3.557266,false,false,false,pattern,symmetric,0
227320,1,66481,0.000032,7.162889,10.633738,113.076393,false,false,false,pattern,symmetric,0
37365,1,1,0.000237,8.848735,1.017525,1.035356,false,false,false,complex,general,0
69518,1,13827,0.000069,4.825743,3.272631,10.710115,false,false,false,integer,symmetric,0
1454,1,1,0.002507,3.645117,1.569864,2.464474,false,false,false,pattern,symmetric,0
1473,1473,1473,0.000679,1,0,0,true,true,true,real,symmetric,0
193,1,1,0.093774,18.098446,6.060085,36.724633,false,false,false,pattern,symmetric,0
496,54,10,0.202914,100.645161,126.748056,16065.069795,false,true,false,real,general,0
1856,129,129,0.003298,6.12069,1.514168,2.292704,false,true,false,real,general,0
104,2,2,0.091716,9.538462,1.156854,1.338312,false,true,false,real,general,0
18289,641,641,0.000319,5.83974,3.84377,14.774567,false,true,false,real,general,0
19779,1,1,0.003366,66.575105,15.617805,243.915825,false,false,false,real,symmetric,0
1500,1,1,0.043398,65.096667,28.020327,785.138748,false,false,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
24482,1,183,0.000176,4.31227,1.114089,1.241195,false,false,false,pattern,symmetric,0
47072,1,1,0.001051,49.478586,17.657565,311.789603,false,false,false,real,symmetric,0
38434,312,312,0.000139,5.331529,1.994852,3.979436,false,true,false,real,symmetric,0
21982,1,11091,0.002583,56.783414,145.599627,21199.251346,false,false,false,real,general,0
18892,1,1,0.001395,26.352107,26.0973,681.069069,false,false,false,pattern,symmetric,0
352,352,80,0.003696,1.301136,0.867389,0.752363,false,true,true,pattern,general,0
22401,3,3,0.000359,8.046293,20.459043,418.572455,false,true,false,real,symmetric,0
512,1,1,0.00946,4.84375,0.667237,0.445205,false,false,false,real,general,0
76216,2,2,0.00034,25.947308,436.153711,190230.059311,false,true,false,real,symmetric,0
20141,1,1,0.000148,2.983268,0.128269,0.016453,false,false,false,pattern,symmetric,0
299067,1,95584,0.000022,6.538174,9.815253,96.339192,false,false,false,pattern,symmetric,0
90249,1,1,0.000099,8.899522,0.83246,0.692989,false,false,false,complex,general,0
329885,1,34494,0.000015,4.783758,2.644462,6.993178,false,false,false,integer,symmetric,0
1612,1,1,0.002241,3.612903,1.613193,2.602391,false,false,false,pattern,symmetric,0
1473,10,10,0.009061,13.346232,5.164773,26.674879,false,true,false,real,symmetric,0
198,6,6,0.035507,7.030303,2.144309,4.598062,false,true,false,pattern,symmetric,0
496,66,28,0.166912,82.788306,126.549952,16014.890449,false,true,false,real,general,0
1856,65,65,0.003353,6.22306,3.156276,9.962077,false,true,false,real,general,0
400,2,2,0.017875,7.15,2.991634,8.949875,false,true,false,real,general,0
10774,1,1,0.00061,6.575274,1.099372,1.208619,true,false,false,integer,symmetric,0
31802,1,1,0.00214,68.052638,360.308601,129822.287912,false,false,false,pattern,symmetric,0
18289,641,641,0.000319,5.83974,3.84377,14.774567,false,true,false,real,general,0
6316,6316,6316,0.004191,26.468968,17.122265,293.171958,false,true,true,real,general,0
6691,1,1,0.001032,6.902855,1.312061,1.721503,false,false,false,pattern,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
30202,1,203,0.000143,4.314383,1.113236,1.239294,false,false,false,pattern,symmetric,0
21982,11091,11091,0.001101,24.193704,51.358868,2637.73337,false,true,false,real,general,0
309412,1,1,0.000029,8.892622,590.356242,348520.492259,false,false,false,pattern,symmetric,0
23196,2,2,0.000377,8.753578,18.198557,331.187474,false,true,false,real,symmetric,0
512,1,1,0.009537,4.882813,0.73088,0.534185,true,false,false,real,general,0
120216,2,2,0.000216,25.962933,548.185967,300507.854717,false,true,false,real,symmetric,0
178866,21,21,0.00003,5.374795,147.185916,21663.693761,false,true,false,real,general,0
252,1,2,0.014991,3.777778,0.435275,0.189464,false,false,false,pattern,symmetric,0
381381,1,1,0.000023,8.949352,0.593216,0.351905,false,false,false,complex,general,0
259777,1,32359,0.000018,4.723675,2.759906,7.617084,false,false,false,integer,symmetric,0
1624,1,1,0.002294,3.725369,1.708865,2.920219,false,false,false,pattern,symmetric,0
2003,1334,574,0.005279,10.574638,16.217484,263.006789,false,true,false,real,symmetric,0
209,1,1,0.039903,8.339713,2.258404,5.100386,false,false,false,pattern,symmetric,0
180,6,6,0.082068,14.772222,16.405759,269.148945,false,true,false,real,general,0
656,2,2,0.009026,5.920732,2.864864,8.207447,false,true,false,real,general,0
52329,1,1,0.00095,49.69128,16.547613,273.823491,false,false,false,real,symmetric,0
62064,1,1,0.001103,68.450084,356.026244,126754.686486,false,false,false,pattern,symmetric,0
27449,961,961,0.000213,5.855332,3.845856,14.790605,false,true,false,real,general,0
3402,3402,3402,0.011265,38.321869,28.818744,830.52001,false,true,true,real,general,0
6019,1,1,0.001131,6.805948,0.695538,0.483773,false,false,false,pattern,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1814,3,20,0.004431,8.036935,33.684141,1134.62136,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
135,1,7,0.036488,4.925926,2.678353,7.173577,false,false,false,real,general,0
12111,1,1,0.000504,6.107093,3.569599,12.74204,false,false,false,real,symmetric,0
21982,1,11091,0.003012,66.207533,169.308215,28665.271609,false,false,false,real,general,0
10,1,1,0.9,9,0,0,false,false,false,integer,symmetric,0
23948,5,5,0.000353,8.464506,16.043351,257.389102,false,true,false,real,symmetric,0
961,257,3,0.003687,3.543184,2.189097,4.792144,false,true,false,complex,symmetric,0
93476,1,1,0.000164,15.34764,3.119695,9.732496,false,false,false,complex,general,0
28216,2,2,0.000917,25.874681,264.440723,69928.896079,false,true,false,real,symmetric,0
224,1,2,0.016741,3.75,0.454178,0.206278,false,false,false,pattern,symmetric,0
343565,1,53690,0.000014,4.821702,2.912474,8.482504,false,false,false,integer,symmetric,0
1723,1,1,0.002193,3.778874,1.737198,3.017858,false,false,false,pattern,symmetric,0
817,817,817,0.001224,1,0,0,true,true,true,real,symmetric,0
221,1,1,0.033353,7.371041,1.609029,2.588976,false,false,false,pattern,symmetric,0
765,5,5,0.041663,31.871895,16.922345,286.365767,false,true,false,real,general,0
2048,1,1,0.002411,4.938477,0.506069,0.256106,false,false,false,real,general,0
3175,1,1,0.008405,26.684409,9.73725,94.814045,false,false,false,real,general,0
16783,1,1,0.033101,555.528034,1233.55701,1521662.897304,false,false,false,pattern,symmetric,0
27449,961,961,0.000213,5.855332,3.845856,14.790605,false,true,false,real,general,0
726,1,1,0.06549,47.545455,18.531092,343.401379,false,false,false,real,symmetric,0
15606,1,1,0.000441,6.879534,0.573444,0.328838,false,false,false,pattern,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
1879,1,24,0.003631,6.821714,34.926846,1219.884597,false,false,false,real,general,0
16554,555,555,0.000197,3.264468,1.515225,2.295908,false,true,false,real,symmetric,0
108384,1,1,0.000742,80.395649,33.561785,1126.393418,false,false,false,real,symmetric,0
22835,9833,9833,0.001297,29.622903,57.362751,3290.485146,false,true,false,real,general,0
32460,3,3,0.000311,10.105853,15.477412,239.550272,false,true,false,pattern,symmetric,0
11,4,2,0.239669,2.636364,1.206045,1.454545,false,true,false,pattern,general,0
30235,42,42,0.000388,11.745957,73.597849,5416.643371,false,true,false,real,symmetric,0
961,1,1,0.011468,11.020812,4.175522,17.434983,false,false,false,complex,symmetric,0
40401,1,1,0.000123,4.9801,0.140367,0.019703,false,false,false,real,general,0
2454,2,2,0.004157,10.200489,42.774446,1829.653224,false,true,false,real,symmetric,0
3296,1,2,0.001184,3.902913,0.302208,0.09133,false,false,false,pattern,symmetric,0
1024,1,1,0.005829,5.96875,1.327578,1.762463,false,false,false,pattern,symmetric,0
148,2,2,0.069713,10.317568,7.421276,55.075336,false,true,false,real,general,0
171778,1,24059,0.000028,4.889916,2.885419,8.325645,false,false,false,integer,symmetric,0
5300,1,1,0.000778,4.121132,1.442372,2.080437,false,false,false,pattern,symmetric,0
485,485,485,0.002062,1,0,0,true,true,true,real,symmetric,0
234,7,7,0.015231,3.564103,1.472988,2.169693,false,true,false,pattern,symmetric,0
1374,1,57,0.004549,6.250364,2.546562,6.484978,false,false,false,real,general,0
67,1,2,0.065493,4.38806,1.140909,1.301673,false,false,false,real,general,0
512,1,1,0.00946,4.84375,0.667237,0.445205,false,false,false,real,general,0
1050,1,1,0.023762,24.950476,18.078987,326.849785,false,false,false,real,symmetric,0
13535,1,1,0.002037,27.575545,9.736102,94.791673,false,false,false,real,general,0
2395,1,1,0.002293,5.491023,6.831746,46.672747,false,false,false,real,general,0
36609,1281,1281,0.00016,5.863121,3.846873,14.798435,false,true,false,real,general,0
17546,1,1,0.000395,6.927505,0.579491,0.33581,true,false,false,real,symmetric,0
