@relation 'matrixdomains-weka.filters.unsupervised.attribute.Remove-Rfirst-3,5,6,20-25,27-39'

@attribute numberOfRows numeric
@attribute numberOfConnectedComponent numeric
@attribute numberOfBlockFromDmPerm numeric
@attribute normalizedAvgNNZPerRow numeric
@attribute avgNNZPerRow numeric
@attribute stdNNZPerRow numeric
@attribute varNNZPerRow numeric
@attribute maxEig numeric
@attribute isMaxEigNegative {true,false}
@attribute isDiagonallyDominant {true,false}
@attribute isBlockDiagonal {true,false}
@attribute isDiagonal {true,false}
@attribute field {real,pattern,integer,complex}
@attribute symmetric {symmetric,general,skew-symmetric,hermitian}
@attribute isElectromagneticsProblem {0,1}

@data
14913,1,1,0.000586,8.743848,42.022965,1765.929553,339.212338,true,false,false,false,real,symmetric,0
16129,1,1,0.000973,15.686589,5.777157,33.37554,7.302918,false,false,false,false,real,symmetric,0
40798,2,2,0.001441,58.782783,495.468268,245488.8043,169525.735456,true,false,true,false,real,symmetric,0
4253,1,1,0.001359,5.77898,0.706814,0.499586,5.961932,false,false,false,false,pattern,symmetric,0
204447,1,21434,0.000023,4.796519,3.449203,11.897,22398013.817271,true,false,false,false,integer,symmetric,0
118,1,1,0.034186,4.033898,1.573999,2.477474,5.113605,false,false,false,false,pattern,symmetric,0
1074,1074,1074,0.000931,1,0,0,200136.937438,false,true,true,true,real,symmetric,0
1007,1,1,0.008456,8.515392,1.170169,1.369296,9.68369,false,false,false,false,pattern,symmetric,0
900,1,1,0.00956,8.604444,1.037228,1.075842,19.878436,false,true,false,false,integer,symmetric,0
147,1,1,0.112962,16.605442,4.431453,19.637778,9244.557461,false,false,false,false,real,symmetric,0
1633,2,2,0.017485,28.552358,17.080902,291.757214,1853687879.154933,false,false,true,false,real,general,0
41374,5272,5292,0.000134,5.544182,6.472786,41.896955,511.999983,false,false,true,false,real,general,0
1813,6,469,0.003421,6.202427,30.785689,947.75867,1.252272,false,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,false,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,false,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,false,false,true,false,real,general,0
10922,1,123,0.000394,4.301685,1.118349,1.250705,5.552462,false,false,false,false,pattern,symmetric,0
32226,1,1,0.000413,13.294979,6.222131,38.714909,0.48924,true,false,false,false,real,symmetric,0
22098,1,1,0.003963,87.579147,32.371781,1047.932211,103.102254,false,false,false,false,pattern,symmetric,0
7102,2,2,0.003373,23.955787,9.981366,99.627675,0.001357,false,false,true,false,real,symmetric,0
86,1,41,0.033532,2.883721,2.323378,5.398085,5.340382,false,false,false,false,integer,symmetric,0
15343,1,1,0.000898,13.778335,38.89829,1513.076986,781.555294,false,false,false,false,real,symmetric,0
65025,1,1,0.000244,15.843522,5.762227,33.203261,7.313037,false,false,false,false,real,symmetric,0
29214,2,2,0.005156,150.616896,676.285644,457362.272766,464257.415894,true,false,true,false,real,symmetric,0
8034,1,1,0.000366,2.940752,0.236103,0.055745,2.987932,false,false,false,false,pattern,symmetric,0
157508,1,22787,0.000031,4.930607,3.112063,9.684938,4196775.890959,true,false,false,false,integer,symmetric,0
274,1,1,0.021472,5.883212,3.305153,10.924039,8.693135,false,false,false,false,pattern,symmetric,0
1083,1083,1083,0.000923,1,0,0,0.000518,false,true,true,true,real,symmetric,0
1242,1,1,0.006759,8.394525,1.951194,3.807158,10.010712,false,false,false,false,pattern,symmetric,0
1258,1,670,0.004854,6.106518,9.545425,91.115136,6.685262,true,false,false,false,real,general,0
9129,321,321,0.000635,5.792858,3.83711,14.723411,2024.36603,true,false,true,false,real,general,0
3096,2,2,0.009477,29.341408,17.157412,294.376779,44066142.352421,false,false,true,false,real,general,0
38415,1,1,0.000632,24.292464,3.461595,11.982641,193508.070941,true,false,false,false,complex,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,false,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,false,false,true,false,real,general,0
14842,1,143,0.00029,4.306226,1.116525,1.246628,5.554834,false,false,false,false,pattern,symmetric,0
67759,2,3,0.000122,8.261249,2.738851,7.501304,104.252908,false,false,true,false,real,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,1.231559,false,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,false,false,true,false,real,general,0
213453,1,1,0.000263,56.148712,12.887958,166.099462,67.025215,false,false,false,false,pattern,symmetric,0
16782,1,1,0.002411,40.459898,24.199783,585.629492,59.395816,false,false,false,false,pattern,symmetric,0
17500,1,1,0.000375,6.569257,3.995047,15.960401,115161.359454,false,false,false,false,real,symmetric,0
18354,1,1,0.000493,9.048709,16.866381,284.474825,27503.545745,false,false,false,false,real,symmetric,0
2048,1,1,0.002411,4.938477,0.506069,0.256106,0.978802,false,false,false,false,real,general,1
146689,1,1,0.000169,24.791518,10.183486,103.703385,7.31404,false,false,false,false,real,symmetric,0
1020,114,157,0.005655,5.767647,3.447337,11.884134,6.412696,false,false,true,false,real,general,0
56814,2,2,0.002716,154.318759,962.154624,925741.520308,464257.415894,true,false,true,false,real,symmetric,0
30269,1,1,0.000098,2.968648,0.174271,0.03037,2.996334,false,false,false,false,pattern,symmetric,0
268495,1,82378,0.000032,8.615781,16.282506,265.11999,41.492023,false,false,false,false,pattern,symmetric,0
145247,1,27258,0.000033,4.821979,3.331027,11.09574,3465097.439924,false,false,false,false,integer,symmetric,0
377002,2503,2503,0.000194,73.163267,6.431357,41.362359,29198300.807957,false,false,true,false,real,general,0
443,1,1,0.00827,3.663657,1.576758,2.486165,5.660071,false,false,false,false,pattern,symmetric,0
1086,2,2,0.018732,20.342541,5.621271,31.598686,40905.106935,false,false,true,false,real,symmetric,0
162,1,1,0.045039,7.296296,1.740596,3.029676,8.253088,false,false,false,false,pattern,symmetric,0
496,54,10,0.202914,100.645161,126.748056,16065.069795,0.488086,false,false,true,false,real,general,0
3363,1,1,0.008795,29.578055,11.516177,132.622326,4827859925.541078,false,false,false,false,real,symmetric,0
9129,321,321,0.000635,5.792858,3.83711,14.723411,1048576,false,false,true,false,real,general,0
21200,1,1,0.003312,70.224906,6.327149,40.032815,7.988064,false,false,false,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,1.179468,false,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,false,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,false,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,false,false,true,false,real,general,0
19362,1,163,0.000223,4.309627,1.115155,1.243571,5.556386,false,false,false,false,pattern,symmetric,0
20685,1,1,0.005738,118.682959,28.555331,815.406925,124.88693,false,false,false,false,pattern,symmetric,0
21982,11091,11091,0.001032,22.689974,50.108535,2510.8653,333875893.168311,true,false,true,false,real,general,0
5026,1,1,0.003722,18.707919,14.317128,204.980144,32.554804,false,false,false,false,pattern,symmetric,0
20000,5000,5000,0.000113,2.25,0.433024,0.187509,3.120049,false,false,true,false,real,symmetric,0
21132,2,2,0.000352,7.431384,14.452449,208.873291,10977.387436,false,false,true,false,real,symmetric,0
8192,1,1,0.000622,5.095947,0.61426,0.377315,109.827796,true,false,false,false,real,general,1
245874,7,7,0.000218,53.484695,2.995075,8.970472,1787.092911,false,false,true,false,real,symmetric,0
84414,2,2,0.001843,155.613168,1181.18972,1395209.154519,464257.415894,true,false,true,false,real,symmetric,0
10240,1,1,0.000579,5.933594,1.886072,3.557266,6.420737,false,false,false,false,pattern,symmetric,0
227320,1,66481,0.000032,7.162889,10.633738,113.076393,62.506695,false,false,false,false,pattern,symmetric,0
37365,1,1,0.000237,8.848735,1.017525,1.035356,0.040814,true,false,false,false,complex,general,0
69518,1,13827,0.000069,4.825743,3.272631,10.710115,6706373.623485,true,false,false,false,integer,symmetric,0
1454,1,1,0.002507,3.645117,1.569864,2.464474,5.948922,false,false,false,false,pattern,symmetric,0
1473,1473,1473,0.000679,1,0,0,63.156289,false,true,true,true,real,symmetric,0
193,1,1,0.093774,18.098446,6.060085,36.724633,14.891808,false,false,false,false,pattern,symmetric,0
496,54,10,0.202914,100.645161,126.748056,16065.069795,12780.666544,false,false,true,false,real,general,0
1856,129,129,0.003298,6.12069,1.514168,2.292704,1,false,false,true,false,real,general,0
104,2,2,0.091716,9.538462,1.156854,1.338312,5.502378,false,false,true,false,real,general,0
18289,641,641,0.000319,5.83974,3.84377,14.774567,3128.288888,true,false,true,false,real,general,0
19779,1,1,0.003366,66.575105,15.617805,243.915825,370664264477.951104,false,false,false,false,real,symmetric,0
1500,1,1,0.043398,65.096667,28.020327,785.138748,0.614861,false,false,false,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,1.179701,false,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,false,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,false,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,false,false,true,false,real,general,0
24482,1,183,0.000176,4.31227,1.114089,1.241195,5.557456,false,false,false,false,pattern,symmetric,0
47072,1,1,0.001051,49.478586,17.657565,311.789603,137201084879.21496,false,false,false,false,real,symmetric,0
38434,312,312,0.000139,5.331529,1.994852,3.979436,3.011578,false,false,true,false,real,symmetric,0
21982,1,11091,0.002583,56.783414,145.599627,21199.251346,32314.10526,false,false,false,false,real,general,0
18892,1,1,0.001395,26.352107,26.0973,681.069069,32.60954,false,false,false,false,pattern,symmetric,0
352,352,80,0.003696,1.301136,0.867389,0.752363,1,false,false,true,true,pattern,general,0
22401,3,3,0.000359,8.046293,20.459043,418.572455,13960.31019,false,false,true,false,real,symmetric,0
512,1,1,0.00946,4.84375,0.667237,0.445205,2.299705,true,false,false,false,real,general,1
76216,2,2,0.00034,25.947308,436.153711,190230.059311,47742.326457,true,false,true,false,real,symmetric,0
20141,1,1,0.000148,2.983268,0.128269,0.016453,2.998866,false,false,false,false,pattern,symmetric,0
299067,1,95584,0.000022,6.538174,9.815253,96.339192,48.04502,false,false,false,false,pattern,symmetric,0
90249,1,1,0.000099,8.899522,0.83246,0.692989,0.08016,true,false,false,false,complex,general,0
329885,1,34494,0.000015,4.783758,2.644462,6.993178,15989501.372165,false,false,false,false,integer,symmetric,0
1612,1,1,0.002241,3.612903,1.613193,2.602391,5.886702,false,false,false,false,pattern,symmetric,0
1473,10,10,0.009061,13.346232,5.164773,26.674879,20.847489,false,false,true,false,real,symmetric,0
198,6,6,0.035507,7.030303,2.144309,4.598062,7.996499,false,false,true,false,pattern,symmetric,0
496,66,28,0.166912,82.788306,126.549952,16014.890449,12747.791722,false,false,true,false,real,general,0
1856,65,65,0.003353,6.22306,3.156276,9.962077,1,false,false,true,false,real,general,0
400,2,2,0.017875,7.15,2.991634,8.949875,5.502378,false,false,true,false,real,general,0
10774,1,1,0.00061,6.575274,1.099372,1.208619,38.069832,false,true,false,false,integer,symmetric,0
31802,1,1,0.00214,68.052638,360.308601,129822.287912,375.155506,true,false,false,false,pattern,symmetric,0
18289,641,641,0.000319,5.83974,3.84377,14.774567,1048576,false,false,true,false,real,general,0
6316,6316,6316,0.004191,26.468968,17.122265,293.171958,202493702422.036032,false,false,true,true,real,general,0
6691,1,1,0.001032,6.902855,1.312061,1.721503,8.236309,false,false,false,false,pattern,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,1.179943,false,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,false,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,false,false,true,false,real,general,0
30202,1,203,0.000143,4.314383,1.113236,1.239294,5.558225,false,false,false,false,pattern,symmetric,0
21982,11091,11091,0.001101,24.193704,51.358868,2637.73337,263258324.031978,true,false,true,false,real,general,0
309412,1,1,0.000029,8.892622,590.356242,348520.492259,169.010348,false,false,false,false,pattern,symmetric,0
23196,2,2,0.000377,8.753578,18.198557,331.187474,8383.907297,false,false,true,false,real,symmetric,0
512,1,1,0.009537,4.882813,0.73088,0.534185,0.977909,false,true,false,false,real,general,1
120216,2,2,0.000216,25.962933,548.185967,300507.854717,47742.326457,true,false,true,false,real,symmetric,0
178866,21,21,0.00003,5.374795,147.185916,21663.693761,32832.355703,false,false,true,false,real,general,0
252,1,2,0.014991,3.777778,0.435275,0.189464,3.838692,true,false,false,false,pattern,symmetric,0
381381,1,1,0.000023,8.949352,0.593216,0.351905,0.197941,true,false,false,false,complex,general,0
259777,1,32359,0.000018,4.723675,2.759906,7.617084,9266099.037403,true,false,false,false,integer,symmetric,0
1624,1,1,0.002294,3.725369,1.708865,2.920219,6.163965,false,false,false,false,pattern,symmetric,0
2003,1334,574,0.005279,10.574638,16.217484,263.006789,295.46736,false,false,true,false,real,symmetric,0
209,1,1,0.039903,8.339713,2.258404,5.100386,8.490096,false,false,false,false,pattern,symmetric,0
180,6,6,0.082068,14.772222,16.405759,269.148945,1.888823422087765E19,true,false,true,false,real,general,0
656,2,2,0.009026,5.920732,2.864864,8.207447,5.502378,false,false,true,false,real,general,0
52329,1,1,0.00095,49.69128,16.547613,273.823491,721239428470.846336,false,false,false,false,real,symmetric,0
62064,1,1,0.001103,68.450084,356.026244,126754.686486,398.385221,false,false,false,false,pattern,symmetric,0
27449,961,961,0.000213,5.855332,3.845856,14.790605,4834.200612,true,false,true,false,real,general,0
3402,3402,3402,0.011265,38.321869,28.818744,830.52001,3.977454410479003E14,false,false,true,true,real,general,0
6019,1,1,0.001131,6.805948,0.695538,0.483773,8.002155,false,false,false,false,pattern,symmetric,0
